Gene,Gene_ID,Disease,Disease_ID,Gene_Degree,Disease_Degree,Gene_IC,Disease_IC,Combined_IC,Gene_Network_Score,Dis_Network_Score,GMT_Confirmed,Probability_Score,Percentile,Rank_Gene_for_Disease,Rank_Disease_for_Gene
ACY1,95,ABHD14A-ACY1-related disorder,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.816497,0.0,1.0,100.0,1,1
ABHD14A-ACY1,100526760,ABHD14A-ACY1-related disorder,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.816497,0.0,1.0,100.0,1,1
NCF4,4689,Granulomatous disease,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.816362,1.0,1.0,0.995511,99.98,1,1
NCF1,653361,Chronic granulomatous disease,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.816362,1.0,1.0,0.995511,99.98,1,1
NCF4,4689,Chronic granulomatous disease,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.816362,1.0,1.0,0.995511,99.98,1,1
NCF1,653361,Granulomatous disease,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.816362,1.0,1.0,0.995511,99.98,1,1
AQP2,359,Nephrogenic diabetes insipidus,OMIM_125800,2,2,11.4815,11.1325,22.614,0.816497,1.0,0.0,0.988103,99.96,1,1
AQP2,359,Diabetes insipidus,MedGen_8349,2,2,11.4815,11.1325,22.614,0.816497,1.0,0.0,0.988103,99.96,1,1
CD40,958,Hyperimmunoglobulin M syndrome,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.707107,0.0,0.978724,99.95,1,1
AICDA,57379,Hyperimmunoglobulin M syndrome,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.707107,0.0,0.978724,99.95,1,1
HOXA2,3199,Bosley-Salih-Alorainy syndrome,OMIM_612290,3,2,10.8966,11.1325,22.0291,0.866025,1.0,0.0,0.964641,99.94,1,1
HOXA2,3199,Human HOXA1 syndromes,OMIM_612290,3,2,10.8966,11.1325,22.0291,0.866025,1.0,0.0,0.964641,99.94,1,1
HOXA2,3199,Bilateral microtia-deafness-cleft palate syndrome,OMIM_612290,3,2,10.8966,11.1325,22.0291,0.866025,1.0,0.0,0.964641,99.94,1,1
FTL,2512,Neuroferritinopathy,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
FTL,2512,Sporadic abdominal aortic aneurysm,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
FTL,2512,Glycogen storage disease due to muscle and heart glycogen synthase deficiency,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
FTL,2512,Hereditary hyperferritinemia,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
GYS1,2997,Neuroferritinopathy,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
FTL,2512,L-ferritin deficiency,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
GYS1,2997,L-ferritin deficiency,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
GYS1,2997,Hereditary hyperferritinemia,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
GYS1,2997,Sporadic abdominal aortic aneurysm,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
GYS1,2997,Glycogen storage disease due to muscle and heart glycogen synthase deficiency,ClinVar_NULL,5,2,10.1596,11.1325,21.2921,1.0,1.0,0.0,0.953636,99.9,1,1
LACC1,144811,Juvenile arthritis due to defect in LA,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.57735,0.0,0.953487,99.86,1,1
CCDC122,160857,Juvenile arthritis due to defect in LA,ClinVar_NULL,2,2,11.4815,11.1325,22.614,1.0,0.57735,0.0,0.953487,99.86,1,1
PIGV,55650,Hyperphosphatasia-intellectual disability syndrome,OMIM_614749,2,2,11.4815,11.1325,22.614,1.0,0.57735,0.0,0.953487,99.86,1,1
PIGO,84720,Hyperphosphatasia-intellectual disability syndrome,OMIM_614749,2,2,11.4815,11.1325,22.614,1.0,0.57735,0.0,0.953487,99.86,1,1
KRT81,3887,Monilethrix-,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.816497,0.816497,0.0,0.952412,99.85,1,1
SLC36A2,153201,Hyperglycinuria,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.761802,1.0,0.0,0.948522,99.84,1,1
SLC36A2,153201,Iminoglycinuria,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.761802,1.0,0.0,0.948522,99.84,1,1
POLR3C,10623,Decreased total lymphocyte count,MedGen_C0024312,2,6,11.4815,9.5475,21.0291,0.760419,0.866025,1.0,0.943523,99.83,1,1
CCNQ,92002,Decreased total lymphocyte count,MedGen_C0024312,2,6,11.4815,9.5475,21.0291,0.760419,0.866025,1.0,0.943523,99.83,1,1
ZC3H3,23144,Decreased total lymphocyte count,MedGen_C0024312,2,6,11.4815,9.5475,21.0291,0.760419,0.866025,1.0,0.943523,99.83,1,1
HMGCS2,3158,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,OMIM_605911,2,2,11.4815,11.1325,22.614,0.632456,1.0,0.0,0.940376,99.81,1,1
HMGCS2,3158,PHGDH deficiency,OMIM_605911,2,2,11.4815,11.1325,22.614,0.632456,1.0,0.0,0.940376,99.81,1,1
SPATA22,84690,Spongy degeneration of central nervous system,OMIM_271900,2,2,11.4815,11.1325,22.614,0.632456,1.0,0.0,0.940376,99.81,1,1
SPATA22,84690,Canavan disease,MedGen_61565,2,2,11.4815,11.1325,22.614,0.632456,1.0,0.0,0.940376,99.81,1,1
SLC7A9,11136,Cystine urolithiasis,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.57735,1.0,0.0,0.926085,99.78,1,1
SLC7A9,11136,Cystinuria,OMIM_220100,2,2,11.4815,11.1325,22.614,0.57735,1.0,0.0,0.926085,99.78,1,1
IFNL4,101180976,Peginterferon alfa-2a,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.57735,1.0,0.0,0.926085,99.78,1,1
IFNL4,101180976,Boceprevir,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.57735,1.0,0.0,0.926085,99.78,1,1
HADHB,3032,Mitochondrial trifunctional protein deficiency,OMIM_PS609015,2,2,11.4815,11.1325,22.614,0.707107,0.816497,0.0,0.924044,99.77,1,1
OBSL1,23363,3-M syndrome,OMIM_PS273750,2,2,11.4815,11.1325,22.614,0.707107,0.816497,0.0,0.924044,99.77,1,1
AVPR2,554,Diabetes insipidus,MedGen_8349,3,2,10.8966,11.1325,22.0291,0.816497,0.853553,0.0,0.923313,99.75,2,1
AVPR2,554,Nephrogenic diabetes insipidus,OMIM_125800,3,2,10.8966,11.1325,22.0291,0.816497,0.853553,0.0,0.923313,99.75,2,1
SLC40A1,30061,Hereditary hemochromatosis,OMIM_PS235200,2,4,11.4815,10.1325,21.614,0.877485,0.755929,0.0,0.913034,99.74,1,1
HAMP,57817,Hereditary hemochromatosis,OMIM_PS235200,2,4,11.4815,10.1325,21.614,0.877485,0.755929,0.0,0.913034,99.74,1,1
TFR2,7036,Hereditary hemochromatosis,OMIM_PS235200,2,4,11.4815,10.1325,21.614,0.877485,0.755929,0.0,0.913034,99.74,1,1
KRT81,3887,Monilethrix,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.761802,0.816497,0.0,0.912831,99.73,1,2
PIGH,5283,Glycosylphosphatidylinositol biosynthesis defect,ClinVar_NULL,1,5,12.4815,9.8106,22.2921,1.0,0.0,1.0,0.91071,99.71,1,1
GPAA1,8733,Glycosylphosphatidylinositol biosynthesis defect,ClinVar_NULL,1,5,12.4815,9.8106,22.2921,1.0,0.0,1.0,0.91071,99.71,1,1
PIGC,5279,Glycosylphosphatidylinositol biosynthesis defect,ClinVar_NULL,1,5,12.4815,9.8106,22.2921,1.0,0.0,1.0,0.91071,99.71,1,1
PIGU,128869,Glycosylphosphatidylinositol biosynthesis defect,ClinVar_NULL,1,5,12.4815,9.8106,22.2921,1.0,0.0,1.0,0.91071,99.71,1,1
PIGS,94005,Glycosylphosphatidylinositol biosynthesis defect,ClinVar_NULL,1,5,12.4815,9.8106,22.2921,1.0,0.0,1.0,0.91071,99.71,1,1
NME1,4830,NME1-NME2-related disorder,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
FARSB,10056,Rajab interstitial lung disease,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
KLHDC8B,200942,Classic Hodgkin lymphoma,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
NME1-NME2,654364,NME1-NME2-related disorder,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
RELA,5970,Mucocutaneous ulceration,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
APOBEC3B,9582,APOBEC3B-related condition,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
APOBEC3A_B,100913187,APOBEC3B-related condition,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
ZNF782,158431,Mycotic Aneurysm,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
HSF4,3299,Cataract 5 multiple,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
SIPA1,6494,Mucocutaneous ulceration,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
NCBP1,4686,Mycotic Aneurysm,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
CEBPE,1053,Specific granule deficiency,MedGen_140766,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
COQ6,51004,Familial steroid-resistant nephrotic syndrome,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
KRT13,3860,White sponge nevus,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
DCAF8,50717,Giant axonal neuropathy,MedGen_1684765,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
FBXL8,55336,Cataract 5 multiple,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
H6PD,9563,Cortisone reductase deficiency,MedGen_266223,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
MAP4K5,11183,FASTING PLASMA GLUCOSE LEVEL QUANTITATIVE TRAIT LOCUS,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
MYC,4609,Classic Hodgkin lymphoma,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
PER3,8863,Advanced sleep phase syndrome,MedGen_348956,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
ENTPD5,957,Familial steroid-resistant nephrotic syndrome,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
FARSA,2193,Rajab interstitial lung disease,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
KRT4,3851,White sponge nevus,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
SMARCD2,6603,Specific granule deficiency,MedGen_140766,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
G6PC2,57818,FASTING PLASMA GLUCOSE LEVEL QUANTITATIVE TRAIT LOCUS,ClinVar_NULL,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
HSD11B1,3290,Cortisone reductase deficiency,MedGen_266223,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
PER2,8864,Advanced sleep phase syndrome,MedGen_348956,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
GAN,8139,Giant axonal neuropathy,MedGen_1684765,1,2,12.4815,11.1325,23.614,1.0,0.0,0.0,0.903267,99.62,1,1
CLEC7A,64581,Aspergillosis,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.707107,0.707107,0.0,0.902768,99.52,1,1
SGCE,8910,Myoclonic dystonia,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.707107,0.707107,0.0,0.902768,99.52,1,1
DMPK,1760,Myotonic dystrophy,MedGen_10239,2,2,11.4815,11.1325,22.614,0.707107,0.707107,0.0,0.902768,99.52,1,1
PCK1,5105,Phosphoenolpyruvate carboxykinase deficiency,MedGen_120618,2,2,11.4815,11.1325,22.614,0.707107,0.707107,0.0,0.902768,99.52,1,1
BNC2,54796,Hypotension,MedGen_C0020649,2,2,11.4815,11.1325,22.614,0.707107,0.707107,0.0,0.902768,99.52,1,1
SPINT2,10653,Congenital secretory sodium diarrhea,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.707107,0.707107,0.0,0.902768,99.52,1,1
PEPD,5184,Megaconial  muscular dystrophy,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.707107,0.707107,0.0,0.902768,99.52,1,1
NUP62,23636,Infantile bilateral striatal necrosis,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.707107,0.707107,0.0,0.902768,99.52,1,1
SIL1,64374,X-linked intellectual disability-short stature-overweight syndrome,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.707107,0.707107,0.0,0.902768,99.52,1,1
CYP4F22,126410,Congenital ichthyosiform erythroderma,MedGen_C0079583,3,5,10.8966,9.8106,20.7072,0.843168,0.671485,1.0,0.902261,99.49,1,1
RPS10,6204,RPS10-NUDT3-related disorder,OMIM_PS105650,2,2,11.4815,11.1325,22.614,1.0,0.308607,0.0,0.901217,99.48,1,1
RPS10-NUDT3,100529239,RPS10-NUDT3-related disorder,OMIM_PS105650,2,2,11.4815,11.1325,22.614,1.0,0.308607,0.0,0.901217,99.48,1,1
HAAO,23498,Congenital NAD deficiency disorder,OMIM_618845,2,3,11.4815,10.5475,22.0291,0.669781,0.866025,0.0,0.8986,99.47,1,1
CCNQ,92002,Decreased total neutrophil count,MedGen_C0024312,2,8,11.4815,9.1325,20.614,0.631844,0.866025,1.0,0.892163,99.46,1,2
POLR3C,10623,Decreased total neutrophil count,MedGen_C0024312,2,8,11.4815,9.1325,20.614,0.631844,0.866025,1.0,0.892163,99.46,1,2
ZC3H3,23144,Decreased total neutrophil count,MedGen_C0024312,2,8,11.4815,9.1325,20.614,0.631844,0.866025,1.0,0.892163,99.46,1,2
FAM83F,113828,Reduced sperm motility,MedGen_C0028960,3,2,10.8966,11.1325,22.0291,0.654654,0.908248,0.0,0.891981,99.44,1,1
FAM83F,113828,Abnormal sperm morphology,MedGen_C0028960,3,2,10.8966,11.1325,22.0291,0.654654,0.908248,0.0,0.891981,99.44,1,1
ANKIB1,54467,Angiokeratoma corporis diffusum,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.707107,0.632456,0.0,0.888249,99.44,1,1
SFTPB,6439,Surfactant metabolism dysfunction,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.642229,0.67082,1.0,0.886329,99.43,1,1
APRT,353,Morquio syndrome,ClinVar_NULL,3,2,10.8966,11.1325,22.0291,0.866025,0.590822,0.0,0.885057,99.43,1,1
AICDA,57379,Hyper-IgM syndrome,MedGen_124420,2,4,11.4815,10.1325,21.614,0.804738,0.707107,0.0,0.884673,99.42,1,2
CD40,958,Hyper-IgM syndrome,MedGen_124420,2,4,11.4815,10.1325,21.614,0.804738,0.707107,0.0,0.884673,99.42,1,2
GHRHR,2692,Idiopathic growth hormone deficiency,MedGen_C0342381,2,2,11.4815,11.1325,22.614,0.534523,0.816497,0.0,0.879288,99.41,1,1
SLC35C1,55343,Leukocyte adhesion deficiency,MedGen_124419,1,3,12.4815,10.5475,23.0291,1.0,0.0,0.0,0.87787,99.39,1,1
C1QC,714,C1Q deficiency,OMIM_PS613652,1,3,12.4815,10.5475,23.0291,1.0,0.0,0.0,0.87787,99.39,1,1
FERMT3,83706,Leukocyte adhesion deficiency,MedGen_124419,1,3,12.4815,10.5475,23.0291,1.0,0.0,0.0,0.87787,99.39,1,1
ITGB2,3689,Leukocyte adhesion deficiency,MedGen_124419,1,3,12.4815,10.5475,23.0291,1.0,0.0,0.0,0.87787,99.39,1,1
C1QB,713,C1Q deficiency,OMIM_PS613652,1,3,12.4815,10.5475,23.0291,1.0,0.0,0.0,0.87787,99.39,1,1
C1QA,712,C1Q deficiency,OMIM_PS613652,1,3,12.4815,10.5475,23.0291,1.0,0.0,0.0,0.87787,99.39,1,1
HPS3,84343,Deficiency of ferroxidase,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.816497,0.426401,0.0,0.87654,99.37,1,1
CYBB,1536,Chronic granulomatous disease,ClinVar_NULL,3,5,10.8966,9.8106,20.7072,0.704014,0.723607,1.0,0.876312,99.36,2,1
CYBB,1536,Granulomatous disease,ClinVar_NULL,3,5,10.8966,9.8106,20.7072,0.704014,0.723607,1.0,0.876312,99.36,2,1
GHRHR,2692,Isolated growth hormone deficiency,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.620815,0.816497,0.0,0.876269,99.35,1,2
HOXA1,3198,Human HOXA1 syndromes,OMIM_612290,4,2,10.4815,11.1325,21.614,0.866025,0.677229,0.0,0.876096,99.34,2,1
HOXA1,3198,Bilateral microtia-deafness-cleft palate syndrome,OMIM_612290,4,2,10.4815,11.1325,21.614,0.866025,0.677229,0.0,0.876096,99.34,2,1
HOXA1,3198,Bosley-Salih-Alorainy syndrome,OMIM_612290,4,2,10.4815,11.1325,21.614,0.866025,0.677229,0.0,0.876096,99.34,2,1
SCNN1B,6338,Liddle syndrome,MedGen_67439,3,3,10.8966,10.5475,21.4441,0.887298,0.642229,0.0,0.875175,99.33,1,1
SCNN1G,6340,Liddle syndrome,MedGen_67439,3,3,10.8966,10.5475,21.4441,0.887298,0.642229,0.0,0.875175,99.33,1,1
NIPAL4,348938,Lamellar ichthyosis,OMIM_617574,2,9,11.4815,8.9626,20.4441,0.701439,0.712697,1.0,0.873013,99.32,1,1
ZP3,7784,Oocyte maturation defect,ClinVar_NULL,1,5,12.4815,9.8106,22.2921,0.853553,0.0,1.0,0.872732,99.31,1,1
PANX1,24145,Oocyte maturation defect,ClinVar_NULL,1,5,12.4815,9.8106,22.2921,0.853553,0.0,1.0,0.872732,99.31,1,1
PATL2,197135,Oocyte maturation defect,ClinVar_NULL,1,5,12.4815,9.8106,22.2921,0.853553,0.0,1.0,0.872732,99.31,1,1
OBSL1,23363,3M syndrome,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.603553,0.816497,0.0,0.871792,99.3,1,2
GNS,2799,Sanfilippo syndrome,ClinVar_NULL,2,6,11.4815,9.5475,21.0291,0.65577,0.632456,1.0,0.870956,99.29,1,1
SLC26A11,284129,Sanfilippo syndrome,ClinVar_NULL,2,6,11.4815,9.5475,21.0291,0.65577,0.632456,1.0,0.870956,99.29,1,1
TFR2,7036,Hemochromatosis,ClinVar_NULL,2,7,11.4815,9.3251,20.8067,0.599305,0.755929,1.0,0.870673,99.27,1,2
SLC40A1,30061,Hemochromatosis,ClinVar_NULL,2,7,11.4815,9.3251,20.8067,0.599305,0.755929,1.0,0.870673,99.27,1,2
HAMP,57817,Hemochromatosis,ClinVar_NULL,2,7,11.4815,9.3251,20.8067,0.599305,0.755929,1.0,0.870673,99.27,1,2
PIGO,84720,Hyperphosphatasia,ClinVar_NULL,2,6,11.4815,9.5475,21.0291,0.694975,0.57735,1.0,0.870405,99.26,1,2
PIGV,55650,Hyperphosphatasia,ClinVar_NULL,2,6,11.4815,9.5475,21.0291,0.694975,0.57735,1.0,0.870405,99.26,1,2
ABHD14A-ACY1,100526760,Aminoacylase 1 deficiency,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.598058,0.816497,0.0,0.870367,99.25,1,2
ACY1,95,Aminoacylase 1 deficiency,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.598058,0.816497,0.0,0.870367,99.25,1,2
WDR72,256764,Amelogenesis imperfecta hypomaturation,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.816497,0.392232,0.0,0.869894,99.24,1,1
ALOXE3,59344,Congenital ichthyosiform erythroderma,MedGen_C0079583,4,5,10.4815,9.8106,20.2921,0.815113,0.658475,1.0,0.866688,99.23,2,1
TNFSF11,8600,Autosomal recessive osteopetrosis,MedGen_1385510,2,7,11.4815,9.3251,20.8067,0.571395,0.771517,1.0,0.866467,99.23,1,1
HAAO,23498,Vertebral,ClinVar_NULL,2,4,11.4815,10.1325,21.614,0.613187,0.866025,0.0,0.865907,99.22,1,2
KRT83,3889,Monilethrix-,ClinVar_NULL,3,2,10.8966,11.1325,22.0291,0.816497,0.552586,0.0,0.864776,99.22,2,1
APBB1,322,Sphingomyelin/cholesterol lipidosis,OMIM_257200,2,3,11.4815,10.5475,22.0291,0.604903,0.774597,0.0,0.863993,99.21,1,1
LTBR,4055,Bronchiectasis,MedGen_14234,2,6,11.4815,9.5475,21.0291,0.592313,0.680414,1.0,0.863828,99.21,1,1
TNFSF11,8600,Increased bone mineral density,ClinVar_NULL,2,6,11.4815,9.5475,21.0291,0.521029,0.771517,1.0,0.863061,99.2,1,2
VMA12,147007,TMEM199-,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.707107,0.5,0.0,0.862487,99.19,1,1
PSMB9,5698,Proteasome-associated autoinflammatory syndrome,ClinVar_NULL,1,6,12.4815,9.5475,22.0291,0.856891,0.0,1.0,0.862175,99.18,1,1
PSMB10,5699,Proteasome-associated autoinflammatory syndrome,ClinVar_NULL,1,6,12.4815,9.5475,22.0291,0.856891,0.0,1.0,0.862175,99.18,1,1
PSMG2,56984,Proteasome-associated autoinflammatory syndrome,ClinVar_NULL,1,6,12.4815,9.5475,22.0291,0.856891,0.0,1.0,0.862175,99.18,1,1
PSMB4,5692,Proteasome-associated autoinflammatory syndrome,ClinVar_NULL,1,6,12.4815,9.5475,22.0291,0.856891,0.0,1.0,0.862175,99.18,1,1
HADHB,3032,Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,OMIM_PS609015,2,3,11.4815,10.5475,22.0291,0.557678,0.816497,0.0,0.859896,99.17,1,2
APBB1,322,Niemann-Pick disease,MedGen_10348,2,5,11.4815,9.8106,21.2921,0.460565,0.774597,1.0,0.859402,99.16,1,2
JMJD7-PLA2G4B,8681,JMJD7-PLA2G4B-related disorder,MedGen_C1535926,2,2,11.4815,11.1325,22.614,1.0,0.087204,0.0,0.858155,99.15,1,1
PLA2G4B,100137049,JMJD7-PLA2G4B-related disorder,MedGen_C1535926,2,2,11.4815,11.1325,22.614,1.0,0.087204,0.0,0.858155,99.15,1,1
CYP4F2,8529,Acenocoumarol response - Dosage,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.447214,0.816497,0.0,0.856647,99.14,1,1
XPA,7507,Xeroderma pigmentosum group,ClinVar_NULL,2,3,11.4815,10.5475,22.0291,0.761802,0.522233,0.0,0.855598,99.14,1,1
PLEKHG2,64857,Leukodystrophy and acquired microcephaly,ClinVar_NULL,3,2,10.8966,11.1325,22.0291,0.774597,0.555936,0.0,0.854562,99.13,1,1
SLC6A19,340024,Iminoglycinuria,ClinVar_NULL,3,3,10.8966,10.5475,21.4441,0.696923,0.788675,0.0,0.854288,99.12,2,1
SLC6A19,340024,Hyperglycinuria,ClinVar_NULL,3,3,10.8966,10.5475,21.4441,0.696923,0.788675,0.0,0.854288,99.12,2,1
MED23,9439,Arginase deficiency,OMIM_614249,2,2,11.4815,11.1325,22.614,1.0,0.063372,0.0,0.85352,99.11,1,1
TINAGL1,64129,Arginase deficiency,OMIM_614249,2,2,11.4815,11.1325,22.614,1.0,0.063372,0.0,0.85352,99.11,1,1
MMP21,118856,Visceral heterotaxy,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.630155,0.516398,1.0,0.853163,99.1,1,1
ACVR2B,93,Visceral heterotaxy,ClinVar_NULL,2,5,11.4815,9.8106,21.2921,0.630155,0.516398,1.0,0.853163,99.1,1,1
COLEC12,81035,Pontoneocerebellar hypoplasia,OMIM_607596,2,12,11.4815,8.5475,20.0291,0.685684,0.707107,1.0,0.849819,99.09,1,1
TSEN2,80746,Pontoneocerebellar hypoplasia,OMIM_607596,2,12,11.4815,8.5475,20.0291,0.685684,0.707107,1.0,0.849819,99.09,1,1
RBM48,84060,Zellweger spectrum disorders,OMIM_614886,2,7,11.4815,9.3251,20.8067,0.547936,0.717137,1.0,0.849807,99.08,1,1
ERCC5,2073,BIVM-ERCC5-related disorder,ClinVar_NULL,4,2,10.4815,11.1325,21.614,1.0,0.361184,0.0,0.84937,99.07,1,1
BIVM-ERCC5,100533467,BIVM-ERCC5-related disorder,ClinVar_NULL,4,2,10.4815,11.1325,21.614,1.0,0.361184,0.0,0.84937,99.07,1,1
TRAPPC12,51112,Early-onset progressive encephalopathy-hearing loss-pons hypoplasia-brain atrophy syndrome,OMIM_617668,2,2,11.4815,11.1325,22.614,0.5,0.707107,0.0,0.84906,99.04,1,1
PDE8B,8622,Striatal degeneration,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.5,0.707107,0.0,0.84906,99.04,1,1
C8A,731,Complement component 8 deficiency,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.5,0.707107,0.0,0.84906,99.04,1,1
PSMA7,5688,Complement component 6 deficiency,OMIM_612446,2,2,11.4815,11.1325,22.614,0.5,0.707107,0.0,0.84906,99.04,1,1
NYNRIN,57523,Predisposition to Wilms tumor,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.5,0.707107,0.0,0.84906,99.04,1,1
PDE10A,10846,Striatal degeneration,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.5,0.707107,0.0,0.84906,99.04,1,1
VMA22,84317,Congenital disorders of glycosylation,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.5,0.707107,0.0,0.84906,99.04,1,1
CTR9,9646,Predisposition to Wilms tumor,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.5,0.707107,0.0,0.84906,99.04,1,1
XDH,7498,Xanthinuria,MedGen_450997,2,2,11.4815,11.1325,22.614,0.5,0.707107,0.0,0.84906,99.04,1,1
ALOXE3,59344,Congenital nonbullous ichthyosiform erythroderma,ClinVar_NULL,4,2,10.4815,11.1325,21.614,0.894427,0.493942,0.0,0.847813,99.01,1,2
CYP4F22,126410,Lamellar ichthyosis,OMIM_617574,3,9,10.8966,8.9626,19.8592,0.73198,0.729026,1.0,0.847803,99.01,2,2
PNPLA1,285848,Congenital ichthyosiform erythroderma,MedGen_C0079583,4,5,10.4815,9.8106,20.2921,0.815113,0.560344,1.0,0.847602,99.0,3,1
GFM1,85476,Hepatoencephalopathy due to combined oxidative phosphorylation defect,ClinVar_NULL,2,2,11.4815,11.1325,22.614,0.816497,0.27735,0.0,0.84755,99.0,1,1
