Gene,Gene_ID,Disease,Disease_ID,Gene_Degree,Disease_Degree,Gene_IC,Disease_IC,Combined_IC,Gene_Network_Score,Dis_Network_Score,GMT_Confirmed,Probability_Score,Percentile,Rank_Gene_for_Disease,Rank_Disease_for_Gene
CITED2,10370,Ventricular septal defect,MedGen_42366,2,6,11.4815,9.5475,21.0291,0.340861,0.369274,1.0,0.738103,92.43,1,1
HSD3B2,3284,Congenital adrenal hyperplasia,OMIM_201750,2,6,11.4815,9.5475,21.0291,0.311593,0.408248,1.0,0.738094,92.43,1,1
RBPJ,3516,Adams-Oliver syndrome,MedGen_78544,2,6,11.4815,9.5475,21.0291,0.565089,0.070014,1.0,0.738047,92.42,2,1
PIP5K1C,23396,Lethal congenital contracture syndrome,MedGen_1863860,2,9,11.4815,8.9626,20.4441,0.465306,0.333333,1.0,0.737992,92.41,2,1
TRIM28,10155,Wilms tumor,MedGen_10221,1,7,12.4815,9.3251,21.8067,0.415218,0.0,1.0,0.737981,92.41,1,1
GH1,2688,Idiopathic growth hormone deficiency,MedGen_C0342381,7,2,9.6742,11.1325,20.8067,0.534523,0.666413,0.0,0.737913,92.4,2,1
MEA1,4201,Hogue-Janssens syndrome,ClinVar_NULL,4,2,10.4815,11.1325,21.614,0.755929,0.113144,0.0,0.737833,92.4,1,1
F13B,2165,Factor X,ClinVar_NULL,3,2,10.8966,11.1325,22.0291,0.288675,0.603553,0.0,0.73781,92.39,1,1
MBTPS1,8720,Spondyloepiphyseal dysplasia,OMIM_253010,1,6,12.4815,9.5475,22.0291,0.377158,0.0,1.0,0.737767,92.39,1,1
IL2RG,3561,Combined immunodeficiency,MedGen_751396,2,6,11.4815,9.5475,21.0291,0.310327,0.408248,1.0,0.737765,92.38,1,1
CYP2B6,1555,Nevirapine response - Toxicity,ClinVar_NULL,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
THRB,7068,Selective pituitary resistance to thyroid hormone,OMIM_145650,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
THRB,7068,Resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta,OMIM_188570,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
CTNS,1497,Infantile nephropathic cystinosis,OMIM_219800,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
THRB,7068,Thyroid hormone resistance,ClinVar_NULL,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
THRB,7068,Thyroid hormone resistance syndrome,OMIM_188570,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
CYP2B6,1555,Efavirenz response,OMIM_614546,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
CYP2B6,1555,Efavirenz response - Metabolism/,ClinVar_NULL,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
CYP2B6,1555,Efavirenz response - Toxicity,ClinVar_NULL,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
CYP2B6,1555,Nevirapine response - Metabolism/,ClinVar_NULL,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
THRB,7068,Resistance to thyroid hormone,ClinVar_NULL,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
CTNS,1497,Ocular cystinosis,OMIM_219800,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
CTNS,1497,Nephropathic cystinosis,OMIM_219800,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
CTNS,1497,Juvenile nephropathic cystinosis,OMIM_219800,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
CTNS,1497,Cystinosis,OMIM_219800,5,1,10.1596,12.1325,22.2921,0.0,1.0,0.0,0.737722,92.34,1,1
MPIG6B,80739,Thrombocythemia,ClinVar_NULL,2,6,11.4815,9.5475,21.0291,0.475933,0.186772,1.0,0.737635,92.29,1,1
LHX4,89884,Pituitary hormone deficiency,ClinVar_NULL,4,7,10.4815,9.3251,19.8067,0.463385,0.572143,1.0,0.737606,92.28,2,3
ADAMTSL2,9719,Lethal short-limb skeletal dysplasia,ClinVar_NULL,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,1
GALT,2592,Deficiency of UDPglucose-hexose-1-phosphate uridylyltransferase,OMIM_230400,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
HNRNPDL,9987,HNRNPDL-related myopathy,ClinVar_NULL,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
RMP64,25871,RMP64-related condition,ClinVar_NULL,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
GLRX5,51218,Spasticity-ataxia-gait anomalies syndrome,OMIM_616859,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
BAAT,570,Bile acid conjugation defect,ClinVar_NULL,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
PITX1,5307,Brachydactyly-elbow wrist dysplasia syndrome,ClinVar_NULL,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,1
SEC14L3,266629,TAP2 POLYMORPH,ClinVar_NULL,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
SOX17,64321,SOX17-related pulmonary arterial hypertension,ClinVar_NULL,2,1,11.4815,12.1325,23.614,0.0,0.57735,0.0,0.737572,92.23,1,2
