Gene,Gene_ID,Gene_OMIM,Disease,Disease_OMIM,OMIM_PhenoClass,Gene_Degree,Disease_Degree,Gene_IC,Disease_IC,Combined_IC,Gene_Network_Score,Dis_Network_Score,PhenotypeClass,GMT_Confirmed,RevGMT_Confirmed,Probability_Score,Percentile,Rank_Gene_for_Disease,Rank_Disease_for_Gene
GNAQ,2776,OMIM:600998,"capillary malformations, congenital, 1, somatic, mosaic",OMIM:163000,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
GNAQ,2776,OMIM:600998,"sturge-weber syndrome, somatic, mosaic",OMIM:185300,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
DCX,1641,OMIM:300121,"lissencephaly, x-linked",OMIM:300067,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
DCX,1641,OMIM:300121,"subcortical laminal heteropia, x-linked",OMIM:300067,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
PAFAH1B1,5048,OMIM:601545,subcortical laminar heterotopia,OMIM:607432,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
KRT17,3872,OMIM:148069,pachyonychia congenita 2,OMIM:167210,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
ELN,2006,OMIM:130160,"cutis laxa, ad",OMIM:123700,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
ELN,2006,OMIM:130160,supravalvar aortic stenosis,OMIM:185500,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
HBD,3045,OMIM:142000,thalassemia due to hb lepore,-666,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
HBD,3045,OMIM:142000,"thalassemia, delta-",-666,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
